decision_id,timestamp,road_id,junction_id,traffic_ai_recommendation,emergency_ai_recommendation,environment_ai_recommendation,infrastructure_ai_recommendation,public_transport_recommendation,master_ai_decision,reason
DEC00118,2026-07-30T00:39:00,R0030,J0021,Extend green phase on approach,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00119,2026-07-29T13:44:00,R0006,J0007,Extend green phase on approach,Hold — awaiting dispatch confirmation,Conditions normal,Schedule maintenance — high stress,Maintain schedule,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00120,2026-07-29T10:25:00,R0032,J0030,Extend green phase on approach,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Infrastructure nominal,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00121,2026-07-29T21:59:00,R0014,J0017,No action required,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Maintain schedule,Maintain schedule,Weighted priority: Traffic flow optimization prioritized
DEC00122,2026-07-29T04:17:00,R0012,J0016,Reroute via alternate arterial,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00123,2026-07-29T00:41:00,R0008,J0005,Reroute via alternate arterial,No emergency vehicles active,Conditions normal,Flag for inspection,Prioritize bus at junction,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00124,2026-07-29T03:08:00,R0011,J0024,Reroute via alternate arterial,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Flag for inspection,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00125,2026-07-29T04:01:00,R0034,J0009,Activate adaptive signal control,Pre-empt next 3 signals,Conditions normal,Schedule maintenance — high stress,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00126,2026-07-29T17:16:00,R0021,J0018,Activate adaptive signal control,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00127,2026-07-30T16:11:00,R0018,J0003,Reroute via alternate arterial,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Maintain schedule,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00128,2026-07-30T10:08:00,R0030,J0021,No action required,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Infrastructure nominal,Increase bus frequency on route,Increase bus frequency on route,Weighted priority: Traffic flow optimization prioritized
DEC00129,2026-07-30T18:32:00,R0012,J0016,Activate adaptive signal control,No emergency vehicles active,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00130,2026-07-30T13:05:00,R0011,J0024,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Conditions normal,Infrastructure nominal,Maintain schedule,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00131,2026-07-31T00:11:00,R0021,J0018,Extend green phase on approach,Hold — awaiting dispatch confirmation,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00132,2026-07-30T10:33:00,R0024,J0009,Extend green phase on approach,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00133,2026-07-31T00:05:00,R0038,J0014,No action required,No emergency vehicles active,Issue low-visibility advisory,Flag for inspection,Prioritize bus at junction,Prioritize bus at junction,Weighted priority: Traffic flow optimization prioritized
DEC00134,2026-07-30T01:23:00,R0026,J0028,Extend green phase on approach,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00135,2026-07-31T02:47:00,R0023,J0002,Activate adaptive signal control,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Flag for inspection,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00136,2026-07-29T01:29:00,R0010,J0001,Reroute via alternate arterial,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00137,2026-07-30T07:45:00,R0046,J0020,Reroute via alternate arterial,Pre-empt next 3 signals,Conditions normal,Flag for inspection,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00138,2026-07-31T23:59:00,R0036,J0018,Extend green phase on approach,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00139,2026-07-29T10:12:00,R0014,J0017,Extend green phase on approach,No emergency vehicles active,Issue low-visibility advisory,Flag for inspection,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00140,2026-07-30T02:54:00,R0037,J0024,No action required,Hold — awaiting dispatch confirmation,Conditions normal,Infrastructure nominal,Increase bus frequency on route,Increase bus frequency on route,Weighted priority: Traffic flow optimization prioritized
DEC00141,2026-07-29T16:16:00,R0004,J0011,No action required,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Infrastructure nominal,Maintain schedule,Maintain schedule,Weighted priority: Traffic flow optimization prioritized
DEC00142,2026-07-31T04:16:00,R0008,J0005,No action required,Pre-empt next 3 signals,Issue low-visibility advisory,Infrastructure nominal,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00143,2026-07-29T00:38:00,R0016,J0010,Extend green phase on approach,No emergency vehicles active,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00144,2026-07-29T05:20:00,R0030,J0021,Reroute via alternate arterial,Pre-empt next 3 signals,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00145,2026-07-30T17:05:00,R0022,J0015,Extend green phase on approach,Clear emergency corridor now,Conditions normal,Schedule maintenance — high stress,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00146,2026-07-30T18:45:00,R0018,J0003,Reroute via alternate arterial,No emergency vehicles active,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00147,2026-07-31T19:21:00,R0032,J0030,Extend green phase on approach,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Maintain schedule,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00148,2026-07-30T06:35:00,R0042,J0016,Extend green phase on approach,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00149,2026-07-31T11:29:00,R0004,J0011,Extend green phase on approach,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Infrastructure nominal,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00150,2026-07-29T00:40:00,R0015,J0027,Activate adaptive signal control,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Flag for inspection,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
