record_id,timestamp,junction_id,junction_name,day_type,is_festival,weather_condition,is_rain,rainfall_mm,temperature_c,visibility_m,is_accident,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
WX500604,2026-01-02 06:01:12,J031,Cubbon Road,Weekday,True,Clear,False,0.0,18.2,2515.0,False,0.372,28.3,24.3,149.3,0.119,0.275,0.913,Moderate traffic flow - standard adaptive signal timing in effect
WX500605,2026-01-19 18:31:07,J011,Indiranagar 100ft Road,Weekday,False,Clear,False,0.0,24.8,2084.0,False,1.0,9.1,63.9,355.8,0.141,0.326,0.922,Heavy congestion detected - signal timing extended and reroute suggested
WX500606,2025-08-06 06:18:59,J024,JP Nagar,Weekday,False,Heavy Rain,True,37.9,17.5,132.0,False,0.845,10.8,53.6,287.8,0.123,0.284,0.894,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500607,2025-12-03 22:49:57,J023,Basavanagudi,Weekday,False,Clear,False,0.0,20.4,2340.0,False,0.137,37.5,4.4,71.6,0.064,0.148,0.982,Normal free-flow traffic - standard signal timing maintained
WX500608,2025-09-03 11:24:37,J008,Jayanagar 4th Block,Weekday,False,Clear,False,0.0,26.2,2519.0,False,0.321,33.7,15.4,140.0,0.119,0.275,0.939,Moderate traffic flow - standard adaptive signal timing in effect
WX500609,2025-04-29 12:51:34,J035,Domlur,Weekday,False,Light Rain,True,5.1,28.0,216.0,False,0.176,11.8,11.2,164.6,0.045,0.104,0.899,Light rain detected - minor speed reduction advised
WX500610,2026-05-26 13:00:06,J033,Trinity Circle,Weekday,False,Clear,False,0.0,30.3,1701.0,False,0.128,26.5,8.1,92.4,0.066,0.152,0.975,Normal free-flow traffic - standard signal timing maintained
WX500611,2026-06-12 08:35:45,J039,KR Market,Weekday,False,Clear,False,0.0,21.6,2290.0,False,1.0,8.9,59.3,141.0,0.06,0.139,0.912,Heavy congestion detected - signal timing extended and reroute suggested
WX500612,2025-08-09 07:55:36,J035,Domlur,Weekend,False,Clear,False,0.0,22.2,1751.0,False,0.559,26.6,40.8,185.0,0.135,0.312,0.974,Moderate traffic flow - standard adaptive signal timing in effect
WX500613,2025-09-17 16:56:33,J012,Koramangala Sony World,Weekday,False,Heavy Rain,True,42.2,26.3,232.0,False,1.0,10.5,70.0,346.7,0.153,0.353,0.866,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500614,2025-07-07 12:29:11,J037,Kadugodi,Weekday,False,Rain,True,21.3,22.2,318.0,False,0.607,9.7,35.4,247.1,0.091,0.21,0.909,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500615,2025-05-27 15:02:44,J014,Electronic City Toll,Weekday,False,Clear,False,0.0,30.2,2100.0,False,0.252,36.1,18.6,144.9,0.124,0.286,0.99,Moderate traffic flow - standard adaptive signal timing in effect
WX500616,2025-07-31 21:43:00,J010,Shivajinagar,Weekday,False,Light Rain,True,4.4,19.6,335.0,False,0.483,10.1,32.7,281.1,0.096,0.222,0.947,Light rain detected - minor speed reduction advised
WX500617,2025-12-19 16:42:27,J013,HSR BDA Complex,Weekday,False,Clear,False,0.0,24.3,1991.0,False,0.553,30.2,40.9,116.1,0.094,0.217,0.99,Moderate traffic flow - standard adaptive signal timing in effect
WX500618,2026-02-04 16:30:17,J038,Varthur,Weekday,False,Clear,False,0.0,27.2,2484.0,False,0.567,23.9,44.9,144.7,0.104,0.24,0.977,Moderate traffic flow - standard adaptive signal timing in effect
WX500619,2026-03-23 06:16:21,J009,Majestic,Weekday,False,Clear,False,0.0,25.8,2035.0,False,0.283,30.4,18.1,152.2,0.111,0.256,0.969,Moderate traffic flow - standard adaptive signal timing in effect
WX500620,2025-09-15 08:07:26,J008,Jayanagar 4th Block,Weekday,False,Rain,True,18.5,19.5,513.0,False,1.0,9.9,63.9,162.4,0.102,0.236,0.858,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500621,2026-01-19 07:07:16,J024,JP Nagar,Weekday,False,Light Rain,True,6.0,17.5,557.0,False,0.51,10.3,35.1,302.1,0.101,0.233,0.893,Light rain detected - minor speed reduction advised
WX500622,2025-07-29 13:48:04,J041,Chalukya Circle,Weekday,False,Light Rain,True,0.6,24.1,465.0,False,0.373,11.1,37.6,302.8,0.109,0.252,0.896,Light rain detected - minor speed reduction advised
WX500623,2026-06-22 08:29:24,J020,Malleshwaram Circle,Weekday,False,Clear,False,0.0,24.8,2044.0,False,0.944,13.1,65.6,350.9,0.167,0.386,0.917,Heavy congestion detected - signal timing extended and reroute suggested
WX500624,2025-10-21 10:29:40,J027,Mysore Road,Weekday,True,Light Rain,True,6.6,22.6,404.0,False,0.976,9.7,63.5,503.5,0.195,0.45,0.853,Festival crowd surge detected - alternate route and extended cycle recommended
WX500625,2025-02-21 11:27:41,J039,KR Market,Weekday,False,Clear,False,0.0,24.2,1147.0,False,0.344,21.5,23.6,124.9,0.072,0.166,0.965,Moderate traffic flow - standard adaptive signal timing in effect
WX500626,2025-05-18 19:05:22,J011,Indiranagar 100ft Road,Weekend,False,Rain,True,18.7,26.6,150.0,False,1.0,8.7,67.2,350.1,0.142,0.328,0.905,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500627,2026-02-03 08:50:49,J028,Tumkur Road,Weekday,False,Clear,False,0.0,20.6,1596.0,False,1.0,10.2,63.9,383.6,0.161,0.372,0.918,Heavy congestion detected - signal timing extended and reroute suggested
WX500628,2025-10-02 08:58:15,J032,Richmond Circle,Weekday,True,Clear,False,0.0,23.3,2150.0,False,1.0,9.9,63.6,134.8,0.066,0.152,0.853,Festival crowd surge detected - alternate route and extended cycle recommended
WX500629,2025-10-22 14:22:39,J031,Cubbon Road,Weekday,True,Clear,False,0.0,28.5,2431.0,False,0.376,30.1,26.5,170.2,0.127,0.293,0.887,Moderate traffic flow - standard adaptive signal timing in effect
WX500630,2026-05-29 07:45:37,J041,Chalukya Circle,Weekday,False,Clear,False,0.0,25.3,2095.0,False,0.671,24.5,44.9,206.1,0.167,0.386,0.969,Moderate traffic flow - standard adaptive signal timing in effect
WX500631,2025-02-27 09:32:57,J041,Chalukya Circle,Weekday,False,Clear,False,0.0,22.3,2739.0,False,0.818,15.0,54.0,238.7,0.116,0.268,0.955,Heavy congestion detected - signal timing extended and reroute suggested
WX500632,2025-03-13 17:57:24,J037,Kadugodi,Weekday,False,Clear,False,0.0,33.1,3000.0,False,0.88,16.7,62.1,273.5,0.158,0.365,0.943,Heavy congestion detected - signal timing extended and reroute suggested
WX500633,2025-10-18 16:20:35,J020,Malleshwaram Circle,Weekend,False,Rain,True,17.5,25.9,547.0,False,0.678,11.4,50.7,356.9,0.144,0.333,0.923,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500634,2026-04-02 15:54:32,J035,Domlur,Weekday,False,Clear,False,0.0,31.4,2420.0,False,0.357,29.9,20.3,75.6,0.066,0.152,0.953,Moderate traffic flow - standard adaptive signal timing in effect
WX500635,2025-04-05 07:14:33,J001,Silk Board,Weekend,False,Clear,False,0.0,25.8,2315.0,False,0.317,31.4,20.6,103.2,0.071,0.164,0.961,Moderate traffic flow - standard adaptive signal timing in effect
WX500636,2026-05-26 14:59:50,J012,Koramangala Sony World,Weekday,False,Clear,False,0.0,32.7,1927.0,False,0.191,37.1,15.0,111.4,0.102,0.236,0.96,Normal free-flow traffic - standard signal timing maintained
WX500637,2025-07-05 18:24:21,J007,Banashankari,Weekend,False,Rain,True,18.6,25.9,628.0,False,1.0,7.1,67.9,367.3,0.122,0.282,0.843,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500638,2025-04-15 21:53:57,J035,Domlur,Weekday,True,Clear,False,0.0,26.9,1872.0,True,0.839,17.6,54.8,187.3,0.109,0.252,0.776,Accident detected nearby - reroute and reduced speed advised
WX500639,2026-04-02 08:10:05,J031,Cubbon Road,Weekday,False,Clear,False,0.0,27.0,1193.0,False,0.787,19.1,51.1,353.0,0.246,0.568,0.944,Heavy congestion detected - signal timing extended and reroute suggested
WX500640,2025-07-02 07:04:52,J035,Domlur,Weekday,False,Rain,True,24.5,16.2,616.0,False,0.913,13.0,54.8,143.6,0.068,0.157,0.878,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500641,2025-04-01 08:31:27,J026,Hosur Road,Weekday,False,Fog,False,0.0,27.5,94.0,False,1.0,9.5,66.0,146.6,0.09,0.208,0.874,Heavy congestion detected - signal timing extended and reroute suggested
WX500642,2026-05-28 15:54:10,J004,Hebbal,Weekday,False,Light Rain,True,6.5,31.4,503.0,False,0.512,9.9,36.0,317.3,0.112,0.259,0.934,Light rain detected - minor speed reduction advised
WX500643,2025-12-03 09:59:11,J020,Malleshwaram Circle,Weekday,False,Clear,False,0.0,20.8,1872.0,False,0.787,15.4,51.5,270.4,0.155,0.358,0.971,Heavy congestion detected - signal timing extended and reroute suggested
WX500644,2025-10-03 07:03:20,J033,Trinity Circle,Weekday,True,Clear,False,0.0,22.4,2530.0,False,0.737,18.1,49.8,239.2,0.124,0.286,0.912,Festival crowd surge detected - alternate route and extended cycle recommended
WX500645,2026-06-03 18:37:15,J024,JP Nagar,Weekday,False,Clear,False,0.0,27.0,2080.0,False,0.934,13.7,53.7,278.0,0.15,0.346,0.902,Heavy congestion detected - signal timing extended and reroute suggested
WX500646,2025-08-15 09:53:44,J007,Banashankari,Weekday,True,Clear,False,0.0,23.9,2809.0,False,0.967,11.1,61.8,272.5,0.132,0.305,0.853,Festival crowd surge detected - alternate route and extended cycle recommended
WX500647,2025-01-12 18:59:04,J033,Trinity Circle,Weekend,False,Clear,False,0.0,24.2,2191.0,False,0.749,14.6,47.2,305.2,0.144,0.333,0.971,Moderate traffic flow - standard adaptive signal timing in effect
WX500648,2025-10-26 06:41:53,J021,Vijayanagar,Weekend,False,Clear,False,0.0,19.9,2350.0,False,0.237,39.4,17.9,43.4,0.028,0.065,0.949,Normal free-flow traffic - standard signal timing maintained
WX500649,2025-01-10 18:33:33,J025,Bannerghatta Road,Weekday,False,Clear,False,0.0,24.2,2012.0,False,1.0,8.9,64.0,474.8,0.157,0.363,0.918,Heavy congestion detected - signal timing extended and reroute suggested
WX500650,2025-09-03 19:07:04,J040,City Market,Weekday,False,Clear,False,0.0,27.3,1849.0,False,0.949,10.2,55.5,306.8,0.128,0.296,0.934,Heavy congestion detected - signal timing extended and reroute suggested
WX500651,2026-02-06 15:02:44,J035,Domlur,Weekday,False,Clear,False,0.0,27.1,2165.0,False,0.313,34.9,21.0,131.7,0.118,0.273,0.975,Moderate traffic flow - standard adaptive signal timing in effect
WX500652,2026-01-13 12:50:14,J022,Rajajinagar,Weekday,False,Clear,False,0.0,23.8,2298.0,False,0.203,36.1,17.5,88.8,0.091,0.21,0.978,Normal free-flow traffic - standard signal timing maintained
WX500653,2025-08-03 09:02:13,J016,Sarjapur Road,Weekend,False,Rain,True,21.7,22.6,398.0,False,1.0,10.0,67.7,491.2,0.214,0.494,0.845,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500654,2026-01-16 07:50:43,J028,Tumkur Road,Weekday,False,Clear,False,0.0,17.7,2508.0,False,0.728,21.3,42.8,213.3,0.159,0.367,0.965,Moderate traffic flow - standard adaptive signal timing in effect
WX500655,2026-03-29 14:01:13,J015,Bellandur,Weekend,False,Clear,False,0.0,30.7,1845.0,False,0.227,35.2,17.4,72.8,0.07,0.162,0.958,Normal free-flow traffic - standard signal timing maintained
WX500656,2025-11-25 20:34:54,J015,Bellandur,Weekday,False,Clear,False,0.0,21.6,2047.0,False,0.533,19.9,39.7,275.6,0.153,0.353,0.955,Moderate traffic flow - standard adaptive signal timing in effect
WX500657,2025-10-10 08:01:18,J011,Indiranagar 100ft Road,Weekday,False,Clear,False,0.0,20.2,2196.0,False,0.754,14.9,51.8,353.5,0.19,0.439,0.954,Heavy congestion detected - signal timing extended and reroute suggested
WX500658,2025-05-21 19:22:11,J035,Domlur,Weekday,False,Light Rain,True,4.0,26.3,474.0,False,1.0,7.8,74.5,220.1,0.084,0.194,0.89,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500659,2025-11-20 19:25:47,J033,Trinity Circle,Weekday,False,Clear,False,0.0,24.5,2605.0,False,0.868,12.8,60.2,225.8,0.115,0.266,0.956,Heavy congestion detected - signal timing extended and reroute suggested
WX500660,2025-08-01 20:27:28,J042,Anand Rao Circle,Weekday,False,Clear,False,0.0,24.9,2545.0,False,0.608,26.2,39.3,246.1,0.209,0.483,0.963,Moderate traffic flow - standard adaptive signal timing in effect
WX500661,2025-05-09 18:25:14,J039,KR Market,Weekday,False,Clear,False,0.0,30.7,2101.0,False,1.0,9.3,67.3,353.1,0.128,0.296,0.924,Heavy congestion detected - signal timing extended and reroute suggested
WX500662,2025-04-28 17:31:51,J015,Bellandur,Weekday,False,Clear,False,0.0,31.8,2658.0,False,0.935,13.5,62.2,353.1,0.171,0.395,0.918,Heavy congestion detected - signal timing extended and reroute suggested
WX500663,2025-09-19 17:49:03,J041,Chalukya Circle,Weekday,False,Clear,False,0.0,27.9,2951.0,False,0.945,9.5,59.6,291.4,0.12,0.277,0.918,Heavy congestion detected - signal timing extended and reroute suggested
WX500664,2026-05-07 15:28:01,J012,Koramangala Sony World,Weekday,False,Clear,False,0.0,31.4,1744.0,False,0.304,29.9,21.8,112.7,0.074,0.171,0.959,Moderate traffic flow - standard adaptive signal timing in effect
WX500665,2026-06-25 08:08:57,J001,Silk Board,Weekday,False,Heavy Rain,True,27.5,17.8,240.0,False,1.0,8.4,63.6,673.8,0.237,0.547,0.867,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500666,2025-04-23 13:53:54,J030,MG Road,Weekday,False,Clear,False,0.0,32.6,1798.0,False,0.153,36.2,4.7,60.3,0.043,0.099,0.973,Normal free-flow traffic - standard signal timing maintained
WX500667,2025-02-20 09:23:26,J026,Hosur Road,Weekday,False,Clear,False,0.0,24.4,2263.0,False,1.0,9.2,73.6,283.1,0.112,0.259,0.928,Heavy congestion detected - signal timing extended and reroute suggested
WX500668,2025-11-11 17:59:31,J008,Jayanagar 4th Block,Weekday,False,Clear,False,0.0,23.9,1841.0,False,0.926,12.3,56.8,357.5,0.149,0.344,0.96,Heavy congestion detected - signal timing extended and reroute suggested
WX500669,2025-02-04 17:05:48,J003,KR Puram,Weekday,False,Clear,False,0.0,25.6,2404.0,False,0.722,20.4,46.8,149.8,0.103,0.238,0.965,Moderate traffic flow - standard adaptive signal timing in effect
WX500670,2025-03-08 16:58:43,J031,Cubbon Road,Weekend,False,Clear,False,0.0,32.6,2225.0,False,0.522,27.2,37.1,148.3,0.123,0.284,0.979,Moderate traffic flow - standard adaptive signal timing in effect
WX500671,2025-12-22 06:49:26,J017,Whitefield ITPL,Weekday,False,Clear,False,0.0,16.6,2262.0,False,0.358,32.8,22.4,154.7,0.148,0.342,0.981,Moderate traffic flow - standard adaptive signal timing in effect
WX500672,2026-01-01 21:06:44,J026,Hosur Road,Weekday,True,Clear,False,0.0,21.1,1525.0,False,0.609,22.8,40.3,112.8,0.066,0.152,0.927,Festival crowd surge detected - alternate route and extended cycle recommended
WX500673,2025-10-17 18:13:43,J008,Jayanagar 4th Block,Weekday,False,Clear,False,0.0,25.2,2481.0,False,0.924,12.1,57.2,182.7,0.09,0.208,0.93,Heavy congestion detected - signal timing extended and reroute suggested
WX500674,2025-01-02 14:00:57,J042,Anand Rao Circle,Weekday,False,Clear,False,0.0,24.0,3000.0,False,0.232,32.9,20.1,51.5,0.016,0.037,0.966,Normal free-flow traffic - standard signal timing maintained
WX500675,2025-07-20 17:05:58,J007,Banashankari,Weekend,False,Clear,False,0.0,26.8,2433.0,False,0.534,25.5,36.6,122.8,0.098,0.226,0.98,Moderate traffic flow - standard adaptive signal timing in effect
WX500676,2025-11-15 19:24:47,J012,Koramangala Sony World,Weekend,False,Clear,False,0.0,21.9,1793.0,False,0.624,22.2,37.3,225.4,0.15,0.346,0.99,Moderate traffic flow - standard adaptive signal timing in effect
WX500677,2026-02-28 19:48:21,J029,Old Airport Road,Weekend,False,Clear,False,0.0,24.2,1661.0,False,0.476,24.0,28.5,243.1,0.157,0.363,0.965,Moderate traffic flow - standard adaptive signal timing in effect
WX500678,2026-05-04 09:48:10,J009,Majestic,Weekday,False,Clear,False,0.0,27.6,1705.0,False,0.809,14.6,53.4,300.6,0.156,0.36,0.956,Heavy congestion detected - signal timing extended and reroute suggested
WX500679,2026-03-12 10:14:38,J027,Mysore Road,Weekday,False,Clear,False,0.0,27.7,1546.0,False,0.716,17.8,46.7,261.6,0.145,0.335,0.971,Moderate traffic flow - standard adaptive signal timing in effect
WX500680,2026-01-27 06:57:13,J035,Domlur,Weekday,True,Clear,False,0.0,15.3,2445.0,False,0.627,18.8,34.5,216.2,0.122,0.282,0.922,Festival crowd surge detected - alternate route and extended cycle recommended
WX500681,2025-04-06 08:36:09,J015,Bellandur,Weekend,True,Clear,False,0.0,29.4,2086.0,False,0.937,9.7,61.4,614.4,0.256,0.591,0.882,Festival crowd surge detected - alternate route and extended cycle recommended
WX500682,2025-04-12 10:27:08,J030,MG Road,Weekend,False,Clear,False,0.0,29.8,1919.0,False,0.367,26.1,19.9,75.1,0.048,0.111,0.961,Moderate traffic flow - standard adaptive signal timing in effect
WX500683,2025-01-17 10:54:43,J041,Chalukya Circle,Weekday,False,Clear,False,0.0,23.5,2157.0,False,0.423,29.6,32.0,56.1,0.038,0.088,0.951,Moderate traffic flow - standard adaptive signal timing in effect
WX500684,2025-02-26 20:13:05,J003,KR Puram,Weekday,False,Clear,False,0.0,24.1,2144.0,False,0.528,25.4,29.9,113.7,0.092,0.213,0.971,Moderate traffic flow - standard adaptive signal timing in effect
WX500685,2026-04-25 16:10:16,J015,Bellandur,Weekend,False,Rain,True,18.0,28.1,537.0,False,0.597,8.5,47.7,315.3,0.119,0.275,0.916,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500686,2025-09-19 12:07:45,J004,Hebbal,Weekday,False,Rain,True,8.5,25.4,407.0,False,0.417,9.4,26.9,269.6,0.085,0.196,0.951,Light rain detected - minor speed reduction advised
WX500687,2025-08-08 19:49:48,J018,Nagawara,Weekday,False,Heavy Rain,True,56.3,22.2,153.0,False,1.0,7.7,65.1,358.0,0.122,0.282,0.864,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500688,2025-06-16 18:06:05,J001,Silk Board,Weekday,False,Clear,False,0.0,26.3,1692.0,False,1.0,7.2,63.2,538.3,0.164,0.379,0.914,Heavy congestion detected - signal timing extended and reroute suggested
WX500689,2025-02-02 13:48:00,J030,MG Road,Weekend,False,Clear,False,0.0,25.9,2942.0,False,0.03,39.0,4.0,68.5,0.068,0.157,0.954,Normal free-flow traffic - standard signal timing maintained
WX500690,2026-06-23 08:45:54,J022,Rajajinagar,Weekday,False,Heavy Rain,True,49.7,20.5,155.0,False,1.0,8.9,72.2,376.3,0.146,0.337,0.857,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500691,2025-09-23 05:29:00,J017,Whitefield ITPL,Weekday,False,Heavy Rain,True,25.4,17.5,106.0,False,0.635,10.3,42.9,314.2,0.1,0.231,0.896,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500692,2026-05-07 11:48:35,J017,Whitefield ITPL,Weekday,False,Clear,False,0.0,30.6,1819.0,False,0.233,31.9,17.5,83.4,0.054,0.125,0.963,Normal free-flow traffic - standard signal timing maintained
WX500693,2025-09-02 15:25:56,J037,Kadugodi,Weekday,False,Clear,False,0.0,27.3,2445.0,False,0.247,35.1,14.8,111.2,0.11,0.254,0.963,Normal free-flow traffic - standard signal timing maintained
WX500694,2025-01-01 09:15:24,J028,Tumkur Road,Weekday,False,Clear,False,0.0,21.5,1419.0,False,0.976,10.2,70.2,373.1,0.157,0.363,0.922,Heavy congestion detected - signal timing extended and reroute suggested
WX500695,2026-03-24 12:37:56,J039,KR Market,Weekday,False,Clear,False,0.0,29.2,2039.0,False,0.171,36.8,10.3,61.5,0.057,0.132,0.927,Normal free-flow traffic - standard signal timing maintained
WX500696,2025-09-29 21:05:17,J042,Anand Rao Circle,Weekday,False,Clear,False,0.0,23.0,2138.0,False,0.346,34.8,22.3,106.6,0.109,0.252,0.937,Moderate traffic flow - standard adaptive signal timing in effect
WX500697,2025-09-13 08:02:52,J025,Bannerghatta Road,Weekend,False,Heavy Rain,True,48.9,19.4,118.0,False,1.0,9.7,66.5,548.3,0.24,0.554,0.863,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500698,2025-04-19 07:30:22,J025,Bannerghatta Road,Weekend,False,Clear,False,0.0,26.8,2514.0,False,0.445,25.7,26.9,125.7,0.11,0.254,0.955,Moderate traffic flow - standard adaptive signal timing in effect
WX500699,2026-04-20 19:27:36,J011,Indiranagar 100ft Road,Weekday,False,Clear,False,0.0,29.6,1776.0,False,0.935,10.7,58.4,247.8,0.106,0.245,0.936,Heavy congestion detected - signal timing extended and reroute suggested
WX500700,2026-03-28 20:33:56,J001,Silk Board,Weekend,False,Clear,False,0.0,28.5,2653.0,False,0.395,31.2,26.4,135.2,0.133,0.307,0.984,Moderate traffic flow - standard adaptive signal timing in effect
WX500701,2025-07-25 14:55:36,J003,KR Puram,Weekday,False,Fog,False,0.0,27.8,165.0,False,0.303,9.9,18.0,294.1,0.094,0.217,0.89,Moderate traffic flow - standard adaptive signal timing in effect
WX500702,2025-09-01 10:19:11,J014,Electronic City Toll,Weekday,False,Clear,False,0.0,24.4,1835.0,False,0.697,21.3,50.5,128.1,0.064,0.148,0.978,Moderate traffic flow - standard adaptive signal timing in effect
WX500703,2025-12-05 08:51:27,J012,Koramangala Sony World,Weekday,False,Clear,False,0.0,20.2,2462.0,False,0.986,10.6,61.5,221.8,0.099,0.229,0.918,Heavy congestion detected - signal timing extended and reroute suggested
WX500704,2026-06-16 22:31:35,J035,Domlur,Weekday,False,Clear,False,0.0,24.9,2038.0,False,0.255,39.6,18.6,118.0,0.136,0.314,0.961,Moderate traffic flow - standard adaptive signal timing in effect
WX500705,2025-10-18 09:27:59,J004,Hebbal,Weekend,False,Heavy Rain,True,29.9,19.9,209.0,False,1.0,9.0,70.8,305.2,0.138,0.319,0.875,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500706,2025-04-08 19:38:50,J034,Ulsoor,Weekday,False,Clear,False,0.0,29.8,2623.0,False,0.763,16.6,53.3,303.6,0.177,0.409,0.924,Heavy congestion detected - signal timing extended and reroute suggested
WX500707,2025-11-03 18:00:22,J023,Basavanagudi,Weekday,False,Light Rain,True,2.5,22.7,471.0,False,1.0,8.9,62.3,380.9,0.129,0.298,0.871,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500708,2025-06-27 06:52:16,J011,Indiranagar 100ft Road,Weekday,False,Clear,False,0.0,19.7,1267.0,False,0.296,25.8,20.5,73.9,0.04,0.092,0.96,Moderate traffic flow - standard adaptive signal timing in effect
WX500709,2026-05-04 17:52:20,J011,Indiranagar 100ft Road,Weekday,False,Light Rain,True,5.8,29.0,572.0,False,1.0,9.3,72.0,410.6,0.182,0.42,0.861,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500710,2025-07-20 13:19:04,J039,KR Market,Weekend,False,Clear,False,0.0,26.1,2364.0,False,0.145,39.5,10.9,123.5,0.122,0.282,0.949,Normal free-flow traffic - standard signal timing maintained
WX500711,2026-02-11 07:58:05,J025,Bannerghatta Road,Weekday,False,Clear,False,0.0,20.0,1985.0,False,0.749,17.3,53.6,258.2,0.147,0.34,0.968,Moderate traffic flow - standard adaptive signal timing in effect
WX500712,2026-06-24 18:51:46,J016,Sarjapur Road,Weekday,False,Light Rain,True,4.0,23.7,315.0,False,1.0,10.7,65.3,446.1,0.196,0.453,0.899,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500713,2026-03-26 10:50:53,J018,Nagawara,Weekday,True,Clear,False,0.0,29.1,2877.0,False,0.656,22.8,46.0,165.5,0.106,0.245,0.949,Festival crowd surge detected - alternate route and extended cycle recommended
WX500714,2025-03-30 09:00:13,J008,Jayanagar 4th Block,Weekend,True,Clear,False,0.0,27.5,2646.0,False,1.0,9.4,68.8,446.3,0.187,0.432,0.87,Festival crowd surge detected - alternate route and extended cycle recommended
WX500715,2025-12-09 08:54:19,J011,Indiranagar 100ft Road,Weekday,False,Light Rain,True,4.0,14.6,632.0,False,1.0,8.9,63.4,472.4,0.2,0.462,0.886,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500716,2026-04-15 19:05:31,J001,Silk Board,Weekday,True,Clear,False,0.0,31.3,2248.0,False,1.0,8.5,64.4,284.3,0.103,0.238,0.858,Festival crowd surge detected - alternate route and extended cycle recommended
WX500717,2026-04-19 19:29:19,J025,Bannerghatta Road,Weekend,False,Clear,False,0.0,30.0,3000.0,False,0.545,26.7,33.3,200.2,0.164,0.379,0.95,Moderate traffic flow - standard adaptive signal timing in effect
WX500718,2025-05-16 20:21:45,J027,Mysore Road,Weekday,False,Clear,False,0.0,28.2,2502.0,False,0.524,22.6,28.7,234.2,0.155,0.358,0.947,Moderate traffic flow - standard adaptive signal timing in effect
WX500719,2026-02-03 19:44:02,J023,Basavanagudi,Weekday,False,Clear,False,0.0,23.3,2478.0,False,0.838,14.1,60.1,281.1,0.129,0.298,0.938,Heavy congestion detected - signal timing extended and reroute suggested
WX500720,2026-01-26 12:22:25,J030,MG Road,Weekday,True,Clear,False,0.0,24.1,2935.0,False,0.384,28.6,31.3,87.2,0.061,0.141,0.907,Moderate traffic flow - standard adaptive signal timing in effect
WX500721,2025-08-11 04:09:50,J002,Marathahalli,Weekday,False,Light Rain,True,5.3,15.3,443.0,False,0.299,9.9,15.7,170.7,0.051,0.118,0.908,Light rain detected - minor speed reduction advised
WX500722,2025-07-20 19:48:49,J031,Cubbon Road,Weekend,False,Light Rain,True,6.9,22.9,385.0,False,0.7,12.0,50.0,256.4,0.119,0.275,0.907,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500723,2025-08-16 09:15:35,J026,Hosur Road,Weekend,True,Clear,False,0.0,22.9,3000.0,False,0.842,16.3,60.8,212.0,0.112,0.259,0.883,Festival crowd surge detected - alternate route and extended cycle recommended
WX500724,2026-04-10 21:55:38,J032,Richmond Circle,Weekday,False,Clear,False,0.0,29.1,2885.0,False,0.227,32.4,12.1,115.7,0.083,0.192,0.96,Normal free-flow traffic - standard signal timing maintained
WX500725,2026-06-13 16:41:08,J010,Shivajinagar,Weekend,False,Rain,True,15.2,25.0,694.0,False,0.793,12.9,59.3,295.5,0.16,0.37,0.913,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500726,2026-01-18 08:29:24,J022,Rajajinagar,Weekend,False,Clear,False,0.0,18.3,1915.0,False,0.704,17.6,46.8,291.9,0.183,0.423,0.966,Moderate traffic flow - standard adaptive signal timing in effect
WX500727,2025-02-02 08:29:47,J016,Sarjapur Road,Weekend,False,Clear,False,0.0,21.1,2051.0,False,0.689,21.7,48.3,241.6,0.166,0.383,0.955,Moderate traffic flow - standard adaptive signal timing in effect
WX500728,2025-02-21 10:54:01,J018,Nagawara,Weekday,False,Clear,False,0.0,24.9,2528.0,False,0.336,38.1,20.4,95.0,0.095,0.219,0.956,Moderate traffic flow - standard adaptive signal timing in effect
WX500729,2026-01-04 09:31:52,J031,Cubbon Road,Weekend,False,Clear,False,0.0,20.4,2110.0,False,0.703,17.4,44.4,328.5,0.18,0.416,0.962,Moderate traffic flow - standard adaptive signal timing in effect
