record_id,timestamp,source_junction_id,source_junction_name,affected_junction_id,affected_junction_name,network_hop_distance,distance_m,trigger_type,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_at_source,propagation_delay_sec,congestion_increase_pct,speed_reduction_pct,affected_congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,recovered_within_5min,confidence_score,recommendation_reason
RE110300,2025-02-12 12:21:27,J006,Tin Factory,J008,Jayanagar 4th Block,2,1486,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,121.5,11.4,6.9,0.263,21.4,20.1,148.9,0.107,0.246,True,0.964,Green wave coordination successful - maintain current corridor offset
RE110301,2026-03-23 09:36:54,J023,Basavanagudi,J027,Mysore Road,2,1376,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,114.8,35.0,27.5,1.0,7.5,62.5,592.1,0.182,0.42,False,0.929,Heavy congestion detected - signal timing extended and reroute suggested
RE110302,2025-05-11 06:11:15,J009,Majestic,J013,HSR BDA Complex,2,1004,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,106.6,17.0,9.6,0.27,33.3,21.2,147.6,0.097,0.225,True,0.962,Green wave coordination successful - maintain current corridor offset
RE110303,2026-03-20 20:07:05,J035,Domlur,J039,KR Market,2,1615,Accident,Weekday,True,Clear,False,0.0,True,165.7,33.0,26.8,1.0,9.1,66.7,506.1,0.187,0.433,False,0.711,Accident detected nearby - reroute and reduced speed advised
RE110304,2025-07-27 08:26:08,J038,Varthur,J039,KR Market,1,435,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,47.7,54.2,32.6,1.0,8.5,67.7,412.5,0.143,0.331,False,0.922,Heavy congestion detected - signal timing extended and reroute suggested
RE110305,2025-05-20 18:34:20,J004,Hebbal,J008,Jayanagar 4th Block,2,1232,Signal Fault,Weekday,False,Clear,False,0.0,False,96.4,41.6,23.2,1.0,9.1,66.3,598.8,0.211,0.486,False,0.876,Heavy congestion detected - signal timing extended and reroute suggested
RE110306,2025-10-29 07:35:23,J030,MG Road,J033,Trinity Circle,3,2120,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,187.9,15.2,9.1,0.801,16.3,49.4,97.1,0.051,0.117,True,0.951,Heavy congestion detected - signal timing extended and reroute suggested
RE110307,2026-06-16 16:17:07,J006,Tin Factory,J009,Majestic,3,2583,Signal Fault,Weekday,False,Heavy Rain,True,25.5,False,230.8,16.4,13.1,0.788,20.1,55.0,193.1,0.117,0.271,True,0.854,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110308,2026-03-20 17:22:14,J027,Mysore Road,J029,Old Airport Road,1,686,Festival Surge,Weekday,True,Clear,False,0.0,False,54.4,64.9,45.3,1.0,9.2,62.7,417.9,0.174,0.401,False,0.877,Festival crowd surge detected - alternate route and extended cycle recommended
RE110309,2026-02-12 18:22:09,J016,Sarjapur Road,J018,Nagawara,1,616,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,49.9,67.7,42.9,1.0,8.6,68.3,309.5,0.139,0.321,False,0.913,Heavy congestion detected - signal timing extended and reroute suggested
RE110310,2025-11-19 19:14:33,J026,Hosur Road,J028,Tumkur Road,1,704,Recurrent Congestion,Weekday,False,Fog,False,0.0,False,44.3,64.6,52.8,1.0,10.2,73.3,534.9,0.241,0.557,False,0.927,Heavy congestion detected - signal timing extended and reroute suggested
RE110311,2026-02-14 21:20:29,J004,Hebbal,J008,Jayanagar 4th Block,2,1231,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,114.8,17.0,12.3,0.39,32.2,20.8,130.9,0.108,0.249,True,0.99,Green wave coordination successful - maintain current corridor offset
RE110312,2025-06-27 18:22:37,J020,Malleshwaram Circle,J024,JP Nagar,2,1303,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,138.0,34.8,26.2,1.0,7.8,66.7,425.6,0.143,0.33,False,0.955,Heavy congestion detected - signal timing extended and reroute suggested
RE110313,2026-05-21 07:48:30,J026,Hosur Road,J028,Tumkur Road,1,219,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,20.0,85.9,71.8,1.0,7.6,69.8,686.8,0.225,0.52,False,0.92,Heavy congestion detected - signal timing extended and reroute suggested
RE110314,2025-05-06 22:12:22,J035,Domlur,J037,Kadugodi,2,1761,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,147.4,13.4,9.0,0.316,30.5,26.2,125.8,0.087,0.2,True,0.96,Green wave coordination successful - maintain current corridor offset
RE110315,2026-06-09 14:13:14,J014,Electronic City Toll,J020,Malleshwaram Circle,3,1504,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,130.2,16.5,13.0,0.336,32.1,22.4,77.3,0.073,0.168,True,0.983,Green wave coordination successful - maintain current corridor offset
RE110316,2026-06-07 18:34:18,J022,Rajajinagar,J024,JP Nagar,2,1556,Recurrent Congestion,Weekend,False,Rain,True,8.9,False,137.6,32.8,24.1,0.998,9.0,72.3,288.6,0.116,0.267,False,0.872,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110317,2025-08-03 09:39:13,J026,Hosur Road,J029,Old Airport Road,3,2216,Recurrent Congestion,Weekend,False,Heavy Rain,True,35.2,False,210.8,12.6,8.8,1.0,9.9,62.9,412.1,0.137,0.316,True,0.847,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110318,2025-07-16 19:27:51,J025,Bannerghatta Road,J027,Mysore Road,1,718,Recurrent Congestion,Weekday,False,Heavy Rain,True,33.4,False,75.5,58.4,45.5,1.0,10.4,67.4,409.1,0.162,0.373,False,0.87,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110319,2025-08-02 17:24:29,J014,Electronic City Toll,J018,Nagawara,2,1239,Recurrent Congestion,Weekend,False,Rain,True,23.9,False,108.0,43.4,35.1,1.0,8.8,73.5,451.4,0.192,0.443,False,0.864,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110320,2026-03-13 20:10:36,J038,Varthur,J002,Marathahalli,3,2520,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,230.2,17.0,12.0,0.747,21.7,47.2,86.5,0.072,0.165,True,0.974,Moderate traffic flow - standard adaptive signal timing in effect
RE110321,2025-09-25 12:55:02,J036,HAL Airport Road,J039,KR Market,3,2198,Recurrent Congestion,Weekday,False,Heavy Rain,True,29.4,False,203.3,18.1,14.7,0.512,32.1,35.5,149.7,0.13,0.301,True,0.936,Light rain detected - minor speed reduction advised
RE110322,2026-04-17 05:05:01,J001,Silk Board,J007,Banashankari,3,1735,Recurrent Congestion,Weekday,False,Light Rain,True,5.2,False,153.1,14.2,11.1,0.365,31.7,26.0,105.8,0.083,0.193,True,0.916,Light rain detected - minor speed reduction advised
RE110323,2026-05-05 20:18:32,J025,Bannerghatta Road,J026,Hosur Road,1,628,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,30.2,37.6,27.1,0.84,10.4,58.4,183.7,0.058,0.133,False,0.954,Heavy congestion detected - signal timing extended and reroute suggested
RE110324,2025-07-21 09:06:53,J037,Kadugodi,J039,KR Market,2,1704,Recurrent Congestion,Weekday,False,Heavy Rain,True,35.8,False,128.3,29.3,19.2,1.0,8.3,69.7,406.1,0.131,0.302,False,0.903,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110325,2026-03-30 22:52:17,J023,Basavanagudi,J029,Old Airport Road,3,1818,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,158.3,6.2,4.3,0.15,43.3,4.7,97.2,0.108,0.251,True,0.972,Green wave coordination successful - maintain current corridor offset
RE110326,2026-04-12 17:49:24,J021,Vijayanagar,J024,JP Nagar,3,2034,Signal Fault,Weekend,False,Clear,False,0.0,False,194.9,20.5,13.0,0.812,16.2,57.2,298.8,0.175,0.404,True,0.916,Heavy congestion detected - signal timing extended and reroute suggested
RE110327,2025-12-24 17:00:15,J039,KR Market,J042,Anand Rao Circle,3,2553,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,213.2,13.9,11.3,0.775,16.5,57.7,255.9,0.142,0.328,True,0.961,Heavy congestion detected - signal timing extended and reroute suggested
RE110328,2025-10-01 17:10:53,J036,HAL Airport Road,J039,KR Market,3,1228,Recurrent Congestion,Weekday,False,Rain,True,11.6,False,114.2,37.9,28.7,1.0,8.0,61.3,604.5,0.195,0.45,False,0.876,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110329,2025-02-15 00:04:48,J019,RT Nagar,J021,Vijayanagar,2,1222,Accident,Weekend,False,Clear,False,0.0,True,116.8,40.3,26.0,0.384,35.0,21.5,70.4,0.077,0.177,False,0.822,Accident detected nearby - reroute and reduced speed advised
RE110330,2025-12-08 09:44:30,J006,Tin Factory,J007,Banashankari,1,735,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,73.0,57.9,46.3,1.0,8.3,69.1,327.0,0.119,0.275,False,0.921,Heavy congestion detected - signal timing extended and reroute suggested
RE110331,2025-05-21 08:53:14,J001,Silk Board,J005,Yeshwantpur,2,735,Recurrent Congestion,Weekday,False,Rain,True,16.2,False,62.5,56.8,38.7,1.0,8.7,65.3,260.4,0.1,0.232,False,0.844,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110332,2025-01-25 18:31:05,J008,Jayanagar 4th Block,J010,Shivajinagar,2,1167,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,107.7,32.8,19.7,1.0,9.4,60.6,223.2,0.09,0.208,False,0.922,Heavy congestion detected - signal timing extended and reroute suggested
RE110333,2026-02-21 11:11:17,J031,Cubbon Road,J032,Richmond Circle,1,940,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,91.6,8.7,7.3,0.337,30.3,20.9,154.8,0.105,0.242,True,0.954,Green wave coordination successful - maintain current corridor offset
RE110334,2026-02-03 15:04:02,J001,Silk Board,J007,Banashankari,3,2090,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,176.3,11.5,9.5,0.34,34.1,19.1,135.0,0.119,0.276,True,0.935,Green wave coordination successful - maintain current corridor offset
RE110335,2025-10-09 14:31:54,J032,Richmond Circle,J035,Domlur,3,2686,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,250.0,10.7,7.9,0.332,26.0,22.5,129.0,0.101,0.232,True,0.989,Green wave coordination successful - maintain current corridor offset
RE110336,2025-08-19 20:17:19,J015,Bellandur,J018,Nagawara,3,2348,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,204.4,14.0,11.8,0.661,25.1,48.6,126.6,0.094,0.216,True,0.982,Moderate traffic flow - standard adaptive signal timing in effect
RE110337,2025-04-03 17:38:49,J020,Malleshwaram Circle,J022,Rajajinagar,1,1041,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,85.7,44.3,37.3,1.0,10.0,61.7,461.0,0.184,0.424,False,0.908,Heavy congestion detected - signal timing extended and reroute suggested
RE110338,2026-05-20 12:52:47,J018,Nagawara,J019,RT Nagar,1,641,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,72.5,23.5,17.4,0.428,19.9,27.7,151.8,0.087,0.202,True,0.967,Moderate traffic flow - standard adaptive signal timing in effect
RE110339,2025-10-02 13:21:06,J023,Basavanagudi,J027,Mysore Road,2,1130,Festival Surge,Weekday,True,Clear,False,0.0,False,90.0,39.2,21.9,0.636,21.9,35.3,289.2,0.195,0.45,False,0.903,Festival crowd surge detected - alternate route and extended cycle recommended
RE110340,2025-09-22 09:17:32,J018,Nagawara,J022,Rajajinagar,2,1068,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,99.4,53.7,45.2,1.0,10.2,66.1,388.4,0.154,0.355,False,0.922,Heavy congestion detected - signal timing extended and reroute suggested
RE110341,2026-04-11 19:11:17,J041,Chalukya Circle,J005,Yeshwantpur,3,2294,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,208.9,26.5,21.0,0.787,18.6,50.0,260.3,0.162,0.375,False,0.943,Heavy congestion detected - signal timing extended and reroute suggested
RE110342,2025-01-04 18:39:40,J011,Indiranagar 100ft Road,J015,Bellandur,2,1148,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,106.5,38.9,24.4,0.984,7.6,67.8,595.0,0.185,0.426,False,0.9,Heavy congestion detected - signal timing extended and reroute suggested
RE110343,2025-05-13 14:38:42,J028,Tumkur Road,J030,MG Road,2,657,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,51.0,21.5,14.8,0.319,26.0,19.8,183.7,0.121,0.278,True,0.989,Green wave coordination successful - maintain current corridor offset
RE110344,2026-06-07 23:11:10,J010,Shivajinagar,J014,Electronic City Toll,2,1909,Recurrent Congestion,Weekend,False,Rain,True,13.3,False,173.2,12.5,7.7,0.386,35.0,30.6,88.5,0.09,0.208,True,0.925,Light rain detected - minor speed reduction advised
RE110345,2025-11-13 08:49:50,J005,Yeshwantpur,J007,Banashankari,1,389,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,48.6,78.5,61.6,1.0,11.9,70.2,363.0,0.156,0.36,False,0.903,Heavy congestion detected - signal timing extended and reroute suggested
RE110346,2025-05-04 18:07:12,J029,Old Airport Road,J033,Trinity Circle,2,1347,Accident,Weekend,False,Clear,False,0.0,True,105.0,34.1,25.7,0.922,10.9,57.7,500.5,0.2,0.461,False,0.763,Accident detected nearby - reroute and reduced speed advised
RE110347,2025-01-21 16:00:52,J024,JP Nagar,J025,Bannerghatta Road,1,817,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,72.7,29.6,20.6,0.62,16.5,43.7,164.9,0.109,0.253,False,0.95,Moderate traffic flow - standard adaptive signal timing in effect
RE110348,2026-03-15 21:06:59,J010,Shivajinagar,J011,Indiranagar 100ft Road,1,672,Recurrent Congestion,Weekend,False,Fog,False,0.0,False,62.0,23.4,18.1,0.471,25.7,29.6,192.6,0.144,0.332,True,0.955,Moderate traffic flow - standard adaptive signal timing in effect
RE110349,2025-09-01 17:15:50,J003,KR Puram,J007,Banashankari,2,1624,Signal Fault,Weekday,False,Clear,False,0.0,False,145.8,33.2,27.8,1.0,9.9,66.3,269.6,0.097,0.224,False,0.86,Heavy congestion detected - signal timing extended and reroute suggested
RE110350,2025-11-12 21:50:12,J042,Anand Rao Circle,J002,Marathahalli,1,773,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,68.6,27.8,21.0,0.323,34.5,21.4,84.8,0.074,0.17,False,0.945,Moderate traffic flow - standard adaptive signal timing in effect
RE110351,2025-04-20 20:08:32,J008,Jayanagar 4th Block,J010,Shivajinagar,2,1559,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,123.4,23.4,14.4,0.679,18.0,40.2,123.9,0.081,0.187,True,0.96,Moderate traffic flow - standard adaptive signal timing in effect
RE110352,2026-02-18 12:57:59,J035,Domlur,J038,Varthur,3,1641,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,128.2,3.5,2.1,0.179,31.5,17.3,125.9,0.094,0.218,True,0.984,Green wave coordination successful - maintain current corridor offset
RE110353,2026-05-03 09:23:08,J034,Ulsoor,J037,Kadugodi,3,2718,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,221.3,12.9,10.7,0.72,19.1,38.9,207.3,0.124,0.286,True,0.977,Moderate traffic flow - standard adaptive signal timing in effect
RE110354,2025-03-30 21:33:26,J032,Richmond Circle,J036,HAL Airport Road,2,1235,Festival Surge,Weekend,True,Clear,False,0.0,False,112.1,34.5,25.6,0.739,20.0,47.9,250.0,0.168,0.388,False,0.906,Festival crowd surge detected - alternate route and extended cycle recommended
RE110355,2025-12-12 15:14:36,J013,HSR BDA Complex,J019,RT Nagar,3,2031,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,192.2,10.0,7.5,0.319,24.9,23.4,224.4,0.136,0.315,True,0.953,Green wave coordination successful - maintain current corridor offset
RE110356,2026-03-18 08:18:36,J025,Bannerghatta Road,J031,Cubbon Road,3,1720,Accident,Weekday,False,Clear,False,0.0,True,175.0,35.2,25.3,1.0,8.2,70.1,654.1,0.234,0.541,False,0.764,Accident detected nearby - reroute and reduced speed advised
RE110357,2025-07-13 19:18:18,J025,Bannerghatta Road,J029,Old Airport Road,2,1016,Recurrent Congestion,Weekend,False,Heavy Rain,True,41.8,False,92.2,47.2,34.3,1.0,9.4,64.4,471.2,0.191,0.44,False,0.888,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110358,2026-02-13 11:33:45,J011,Indiranagar 100ft Road,J017,Whitefield ITPL,3,1369,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,121.4,19.0,11.4,0.47,28.8,33.7,211.5,0.184,0.425,True,0.953,Moderate traffic flow - standard adaptive signal timing in effect
RE110359,2025-01-10 05:00:37,J033,Trinity Circle,J035,Domlur,1,585,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,80.6,29.1,23.8,0.384,32.3,27.8,97.1,0.077,0.179,False,0.974,Moderate traffic flow - standard adaptive signal timing in effect
RE110360,2025-09-14 15:18:47,J031,Cubbon Road,J033,Trinity Circle,1,1028,Recurrent Congestion,Weekend,False,Heavy Rain,True,29.6,False,89.9,30.3,17.8,0.624,20.4,48.3,197.5,0.132,0.305,False,0.904,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110361,2025-10-05 19:59:14,J033,Trinity Circle,J034,Ulsoor,1,371,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,20.4,54.0,34.0,0.896,13.5,59.7,168.9,0.099,0.228,False,0.92,Heavy congestion detected - signal timing extended and reroute suggested
RE110362,2026-01-19 18:13:26,J034,Ulsoor,J036,HAL Airport Road,1,651,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,74.3,61.0,49.4,1.0,9.0,62.3,419.0,0.153,0.354,False,0.898,Heavy congestion detected - signal timing extended and reroute suggested
RE110363,2026-01-09 18:45:23,J011,Indiranagar 100ft Road,J013,HSR BDA Complex,1,528,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,51.6,73.0,46.0,1.0,7.3,57.5,161.9,0.065,0.151,False,0.911,Heavy congestion detected - signal timing extended and reroute suggested
RE110364,2025-05-25 13:10:11,J006,Tin Factory,J009,Majestic,3,2126,Recurrent Congestion,Weekend,False,Rain,True,20.7,False,198.2,11.8,8.6,0.415,26.7,30.3,188.8,0.145,0.336,True,0.914,Light rain detected - minor speed reduction advised
RE110365,2025-01-15 12:15:17,J030,MG Road,J032,Richmond Circle,2,1104,Festival Surge,Weekday,True,Clear,False,0.0,False,106.8,31.1,21.5,0.677,17.6,44.9,222.5,0.106,0.246,False,0.921,Festival crowd surge detected - alternate route and extended cycle recommended
RE110366,2025-06-06 20:47:22,J009,Majestic,J015,Bellandur,3,1582,Accident,Weekday,False,Rain,True,9.4,True,138.6,36.6,28.5,0.814,16.0,56.0,345.6,0.178,0.412,False,0.753,Accident detected nearby - reroute and reduced speed advised
RE110367,2026-04-17 18:22:05,J020,Malleshwaram Circle,J022,Rajajinagar,2,1062,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,102.6,44.6,25.9,1.0,9.1,65.7,416.5,0.161,0.371,False,0.911,Heavy congestion detected - signal timing extended and reroute suggested
RE110368,2025-01-09 19:04:26,J026,Hosur Road,J030,MG Road,2,591,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,65.0,63.8,42.0,1.0,10.1,68.2,401.0,0.148,0.342,False,0.9,Heavy congestion detected - signal timing extended and reroute suggested
RE110369,2025-08-02 17:36:13,J016,Sarjapur Road,J017,Whitefield ITPL,1,457,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,54.4,56.7,31.8,1.0,9.5,65.4,357.6,0.148,0.341,False,0.929,Heavy congestion detected - signal timing extended and reroute suggested
RE110370,2025-11-25 17:50:04,J033,Trinity Circle,J035,Domlur,2,1044,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,105.2,48.9,30.4,1.0,10.2,64.6,520.2,0.237,0.548,False,0.919,Heavy congestion detected - signal timing extended and reroute suggested
RE110371,2025-09-15 12:54:00,J003,KR Puram,J005,Yeshwantpur,1,483,Recurrent Congestion,Weekday,False,Rain,True,11.0,False,44.0,42.2,30.7,0.597,28.4,35.0,177.5,0.164,0.379,False,0.907,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110372,2025-10-28 11:26:28,J018,Nagawara,J022,Rajajinagar,2,1032,Signal Fault,Weekday,False,Rain,True,21.3,False,78.0,49.2,39.8,0.863,14.0,46.5,327.9,0.175,0.405,False,0.841,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110373,2025-02-09 10:01:12,J038,Varthur,J040,City Market,1,800,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,89.4,43.7,26.2,0.889,15.2,51.3,275.2,0.153,0.354,False,0.937,Heavy congestion detected - signal timing extended and reroute suggested
RE110374,2025-06-30 19:49:12,J033,Trinity Circle,J035,Domlur,1,583,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,60.7,65.5,40.1,1.0,7.6,67.1,530.9,0.166,0.384,False,0.925,Heavy congestion detected - signal timing extended and reroute suggested
RE110375,2026-04-18 18:46:45,J031,Cubbon Road,J032,Richmond Circle,1,724,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,70.8,57.9,32.3,1.0,11.4,64.8,241.5,0.103,0.238,False,0.872,Heavy congestion detected - signal timing extended and reroute suggested
RE110376,2026-04-08 19:54:11,J022,Rajajinagar,J025,Bannerghatta Road,3,2557,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,234.1,20.5,11.9,0.873,9.6,62.3,401.6,0.157,0.363,True,0.916,Heavy congestion detected - signal timing extended and reroute suggested
RE110377,2025-08-30 23:27:01,J027,Mysore Road,J031,Cubbon Road,2,1415,Recurrent Congestion,Weekend,False,Fog,False,0.0,False,129.1,15.1,10.5,0.237,36.6,16.1,67.1,0.07,0.161,True,0.961,Green wave coordination successful - maintain current corridor offset
RE110378,2025-08-31 06:20:49,J009,Majestic,J010,Shivajinagar,1,852,Recurrent Congestion,Weekend,False,Rain,True,22.0,False,83.1,32.8,22.4,0.614,20.5,40.3,177.3,0.108,0.25,False,0.912,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110379,2025-11-01 15:03:03,J042,Anand Rao Circle,J001,Silk Board,1,676,Recurrent Congestion,Weekend,True,Clear,False,0.0,False,55.2,31.5,25.6,0.502,24.9,28.7,222.3,0.152,0.352,False,0.924,Festival crowd surge detected - alternate route and extended cycle recommended
RE110380,2025-09-04 18:08:17,J006,Tin Factory,J012,Koramangala Sony World,3,2325,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,194.6,17.4,12.8,1.0,8.3,69.3,497.2,0.179,0.413,True,0.9,Heavy congestion detected - signal timing extended and reroute suggested
RE110381,2025-02-27 13:37:41,J007,Banashankari,J011,Indiranagar 100ft Road,2,1204,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,114.8,12.0,8.9,0.328,32.1,24.1,150.7,0.123,0.283,True,0.961,Green wave coordination successful - maintain current corridor offset
RE110382,2025-03-17 11:04:56,J024,JP Nagar,J026,Hosur Road,1,1093,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,102.3,17.1,11.7,0.567,22.4,42.2,125.6,0.105,0.243,True,0.946,Moderate traffic flow - standard adaptive signal timing in effect
RE110383,2025-06-29 06:19:52,J024,JP Nagar,J026,Hosur Road,1,791,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,64.2,22.6,14.5,0.347,29.5,20.7,81.3,0.059,0.137,True,0.96,Green wave coordination successful - maintain current corridor offset
RE110384,2026-05-18 18:56:12,J026,Hosur Road,J027,Mysore Road,1,686,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,91.8,53.4,43.4,1.0,5.1,62.5,785.1,0.169,0.391,False,0.887,Heavy congestion detected - signal timing extended and reroute suggested
RE110385,2026-03-07 04:35:17,J037,Kadugodi,J040,City Market,3,1738,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,181.5,12.9,10.9,0.196,33.6,13.4,99.6,0.081,0.186,True,0.979,Green wave coordination successful - maintain current corridor offset
RE110386,2025-07-08 11:44:20,J042,Anand Rao Circle,J006,Tin Factory,3,2270,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,208.5,3.3,2.6,0.268,39.5,16.1,99.0,0.11,0.254,True,0.969,Green wave coordination successful - maintain current corridor offset
RE110387,2026-05-13 17:59:08,J018,Nagawara,J019,RT Nagar,1,528,Recurrent Congestion,Weekday,False,Rain,True,7.8,False,48.3,65.6,48.0,1.0,9.6,66.0,227.3,0.088,0.203,False,0.87,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110388,2025-01-28 09:06:55,J018,Nagawara,J022,Rajajinagar,2,1175,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,92.5,43.6,26.4,1.0,7.8,62.1,429.6,0.142,0.329,False,0.909,Heavy congestion detected - signal timing extended and reroute suggested
RE110389,2026-06-11 20:24:25,J025,Bannerghatta Road,J026,Hosur Road,1,573,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,63.8,52.1,43.4,0.954,10.4,59.0,356.2,0.14,0.325,False,0.918,Heavy congestion detected - signal timing extended and reroute suggested
RE110390,2026-06-14 06:47:02,J012,Koramangala Sony World,J014,Electronic City Toll,1,860,Recurrent Congestion,Weekend,False,Heavy Rain,True,28.2,False,79.8,46.4,35.9,0.821,15.1,53.6,233.5,0.119,0.276,False,0.908,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110391,2025-04-06 15:51:49,J027,Mysore Road,J029,Old Airport Road,1,821,Festival Surge,Weekend,True,Clear,False,0.0,False,83.0,43.0,31.2,0.75,20.2,51.2,295.5,0.198,0.457,False,0.9,Festival crowd surge detected - alternate route and extended cycle recommended
RE110392,2025-11-13 17:59:32,J014,Electronic City Toll,J015,Bellandur,1,571,Recurrent Congestion,Weekday,False,Light Rain,True,7.3,False,38.8,61.1,38.2,1.0,8.6,73.6,305.9,0.128,0.297,False,0.876,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110393,2025-01-16 22:02:48,J019,RT Nagar,J020,Malleshwaram Circle,1,501,Accident,Weekday,False,Clear,False,0.0,True,44.6,76.4,47.6,0.77,17.7,42.8,212.0,0.124,0.287,False,0.8,Accident detected nearby - reroute and reduced speed advised
RE110394,2025-11-27 08:38:13,J030,MG Road,J032,Richmond Circle,2,1449,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,122.1,31.5,25.8,1.0,8.1,63.4,527.4,0.179,0.413,False,0.882,Heavy congestion detected - signal timing extended and reroute suggested
RE110395,2025-09-27 07:10:50,J036,HAL Airport Road,J042,Anand Rao Circle,3,1000,Recurrent Congestion,Weekend,False,Rain,True,12.2,False,98.5,34.7,25.4,0.69,17.9,41.3,152.8,0.086,0.199,False,0.93,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110396,2025-08-04 18:40:13,J020,Malleshwaram Circle,J022,Rajajinagar,2,1211,Recurrent Congestion,Weekday,False,Light Rain,True,2.5,False,102.7,42.1,29.3,1.0,9.7,64.6,495.1,0.19,0.439,False,0.87,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE110397,2025-06-10 11:54:48,J040,City Market,J001,Silk Board,3,2855,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,256.6,3.1,2.5,0.195,37.8,13.9,100.6,0.106,0.244,True,0.972,Green wave coordination successful - maintain current corridor offset
RE110398,2025-05-16 02:12:45,J001,Silk Board,J002,Marathahalli,1,770,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,75.9,19.1,12.8,0.325,34.6,20.0,92.6,0.086,0.199,True,0.962,Green wave coordination successful - maintain current corridor offset
