record_id,timestamp,parking_lot_id,junction_id,junction_name,lot_type,capacity,occupied_slots,occupancy_pct,day_type,is_festival,is_rain,rainfall_mm,is_accident_nearby,near_full,turnover_rate_per_hr,avg_search_time_sec,search_distance_km,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
PK606083,2025-08-20 09:07:02,J001-P1,J001,Silk Board,On-Street Metered,63,47,74.6,Weekday,False,False,0.0,False,False,0.44,90.5,0.34,0.095,0.22,0.974,Ample parking available - standard guidance sufficient
PK606084,2026-02-28 05:50:25,J014-P3,J014,Electronic City Toll,Market Area,117,18,15.4,Weekend,False,False,0.0,False,False,0.6,17.7,0.09,0.01,0.023,0.955,Ample parking available - standard guidance sufficient
PK606085,2025-06-19 18:40:48,J018-P1,J018,Nagawara,Market Area,89,21,23.6,Weekday,False,True,29.9,False,False,0.53,40.3,0.16,0.037,0.086,0.905,Ample parking available - standard guidance sufficient
PK606086,2026-05-01 14:22:41,J039-P2,J039,KR Market,Office Complex,317,234,73.8,Weekday,True,False,0.0,False,False,0.45,77.8,0.27,0.073,0.168,0.921,Festival demand surge expected - pre-booking recommended
PK606087,2026-01-26 21:22:18,J002-P2,J002,Marathahalli,Mall Basement,451,451,100.0,Weekday,True,False,0.0,False,True,0.32,435.2,1.6,0.466,1.077,0.8,Lot near capacity - reroute to nearby alternate parking recommended
PK606088,2025-07-15 14:25:08,J030-P3,J030,MG Road,Office Complex,345,307,89.0,Weekday,False,True,78.6,False,False,0.33,177.0,0.52,0.189,0.436,0.895,Lot filling up - real-time slot guidance recommended
PK606089,2025-06-17 13:54:41,J017-P1,J017,Whitefield ITPL,Mall Basement,502,65,12.9,Weekday,False,True,52.1,False,False,0.73,23.7,0.08,0.01,0.023,0.926,Ample parking available - standard guidance sufficient
PK606090,2025-05-21 18:55:13,J008-P3,J008,Jayanagar 4th Block,On-Street Metered,40,37,92.5,Weekday,False,False,0.0,False,True,0.49,203.4,0.87,0.247,0.572,0.92,Lot filling up - real-time slot guidance recommended
PK606091,2025-12-20 17:39:23,J002-P3,J002,Marathahalli,Office Complex,268,89,33.2,Weekend,False,False,0.0,False,False,0.54,17.7,0.05,0.01,0.023,0.976,Ample parking available - standard guidance sufficient
PK606092,2025-08-24 17:58:01,J009-P3,J009,Majestic,Market Area,113,11,9.7,Weekend,False,False,0.0,False,False,0.52,48.8,0.22,0.05,0.115,0.96,Ample parking available - standard guidance sufficient
PK606093,2025-07-27 20:45:24,J030-P2,J030,MG Road,Multi-Level Public,690,257,37.2,Weekend,False,True,28.7,False,False,0.66,21.7,0.09,0.023,0.053,0.943,Ample parking available - standard guidance sufficient
PK606094,2025-07-17 16:20:08,J008-P1,J008,Jayanagar 4th Block,Market Area,98,23,23.5,Weekday,False,True,23.1,False,False,0.53,29.4,0.12,0.038,0.089,0.896,Ample parking available - standard guidance sufficient
PK606095,2025-12-14 18:36:25,J029-P2,J029,Old Airport Road,Mall Basement,428,398,93.0,Weekend,False,False,0.0,False,True,0.38,227.5,0.85,0.252,0.582,0.924,Lot filling up - real-time slot guidance recommended
PK606096,2025-07-07 14:08:14,J035-P2,J035,Domlur,Mall Basement,408,60,14.7,Weekday,False,True,27.8,False,False,0.44,15.0,0.07,0.01,0.023,0.924,Ample parking available - standard guidance sufficient
PK606097,2025-03-13 08:59:28,J001-P1,J001,Silk Board,Office Complex,296,32,10.8,Weekday,False,False,0.0,False,False,0.65,30.7,0.11,0.035,0.081,0.971,Ample parking available - standard guidance sufficient
PK606098,2025-02-14 19:24:03,J022-P2,J022,Rajajinagar,Office Complex,244,41,16.8,Weekday,False,False,0.0,False,False,0.61,15.6,0.05,0.01,0.023,0.952,Ample parking available - standard guidance sufficient
PK606099,2025-04-19 14:00:42,J010-P1,J010,Shivajinagar,Office Complex,299,114,38.1,Weekend,False,False,0.0,False,False,0.46,44.6,0.2,0.035,0.08,0.952,Ample parking available - standard guidance sufficient
PK606100,2026-05-25 15:43:34,J040-P1,J040,City Market,Multi-Level Public,658,430,65.3,Weekday,False,False,0.0,False,False,0.27,62.0,0.17,0.054,0.124,0.937,Ample parking available - standard guidance sufficient
PK606101,2025-02-27 08:49:28,J005-P2,J005,Yeshwantpur,On-Street Metered,63,10,15.9,Weekday,False,False,0.0,False,False,0.71,36.9,0.17,0.044,0.102,0.948,Ample parking available - standard guidance sufficient
PK606102,2026-02-25 06:16:07,J022-P3,J022,Rajajinagar,Mall Basement,417,32,7.7,Weekday,False,False,0.0,False,False,0.53,51.2,0.23,0.042,0.096,0.955,Ample parking available - standard guidance sufficient
PK606103,2025-02-14 09:12:33,J001-P3,J001,Silk Board,Multi-Level Public,695,451,64.9,Weekday,False,False,0.0,False,False,0.57,15.0,0.06,0.023,0.053,0.97,Ample parking available - standard guidance sufficient
PK606104,2025-01-25 09:49:51,J015-P1,J015,Bellandur,Mall Basement,484,148,30.6,Weekend,False,True,1.9,False,False,0.53,26.5,0.1,0.029,0.067,0.905,Ample parking available - standard guidance sufficient
PK606105,2025-01-16 11:00:54,J039-P1,J039,KR Market,Mall Basement,400,95,23.8,Weekday,False,False,0.0,False,False,0.54,25.0,0.11,0.021,0.048,0.967,Ample parking available - standard guidance sufficient
PK606106,2026-03-05 21:06:14,J034-P1,J034,Ulsoor,Market Area,173,79,45.7,Weekday,True,False,0.0,False,False,0.38,56.5,0.07,0.039,0.091,0.912,Festival demand surge expected - pre-booking recommended
PK606107,2025-04-27 08:50:52,J001-P2,J001,Silk Board,Mall Basement,443,32,7.2,Weekend,False,False,0.0,False,False,0.74,26.1,0.06,0.033,0.076,0.955,Ample parking available - standard guidance sufficient
PK606108,2026-05-24 15:39:28,J012-P1,J012,Koramangala Sony World,On-Street Metered,121,86,71.1,Weekend,False,True,18.6,False,False,0.54,70.0,0.31,0.086,0.199,0.917,Ample parking available - standard guidance sufficient
PK606109,2026-05-13 06:00:08,J036-P2,J036,HAL Airport Road,Mall Basement,474,38,8.0,Weekday,False,False,0.0,False,False,0.57,44.1,0.22,0.063,0.146,0.983,Ample parking available - standard guidance sufficient
PK606110,2026-01-26 07:51:30,J009-P2,J009,Majestic,On-Street Metered,132,8,6.1,Weekday,True,False,0.0,False,False,0.71,31.4,0.1,0.035,0.08,0.922,Festival demand surge expected - pre-booking recommended
PK606111,2025-02-13 15:39:08,J033-P1,J033,Trinity Circle,Mall Basement,378,23,6.1,Weekday,False,False,0.0,False,False,0.58,30.4,0.09,0.031,0.071,0.962,Ample parking available - standard guidance sufficient
PK606112,2026-01-09 02:59:25,J037-P1,J037,Kadugodi,On-Street Metered,72,12,16.7,Weekday,False,False,0.0,False,False,0.63,15.0,0.05,0.01,0.023,0.955,Ample parking available - standard guidance sufficient
PK606113,2025-05-18 17:59:59,J029-P3,J029,Old Airport Road,Multi-Level Public,669,602,90.0,Weekend,False,False,0.0,False,True,0.26,212.9,0.94,0.243,0.561,0.951,Lot filling up - real-time slot guidance recommended
PK606114,2025-03-04 19:29:47,J041-P3,J041,Chalukya Circle,Market Area,162,11,6.8,Weekday,False,False,0.0,False,False,0.68,42.2,0.18,0.052,0.121,0.966,Ample parking available - standard guidance sufficient
PK606115,2025-06-03 19:49:07,J016-P2,J016,Sarjapur Road,On-Street Metered,84,26,31.0,Weekday,False,False,0.0,False,False,0.6,30.5,0.13,0.031,0.071,0.961,Ample parking available - standard guidance sufficient
PK606116,2025-07-06 16:41:59,J041-P3,J041,Chalukya Circle,On-Street Metered,72,53,73.6,Weekend,False,False,0.0,False,False,0.34,65.1,0.28,0.076,0.177,0.952,Ample parking available - standard guidance sufficient
PK606117,2025-06-18 07:00:15,J007-P3,J007,Banashankari,On-Street Metered,32,7,21.9,Weekday,False,False,0.0,False,False,0.52,19.2,0.08,0.01,0.023,0.963,Ample parking available - standard guidance sufficient
PK606118,2026-03-30 18:53:07,J028-P2,J028,Tumkur Road,Office Complex,271,196,72.3,Weekday,False,False,0.0,False,False,0.35,73.8,0.35,0.086,0.198,0.959,Ample parking available - standard guidance sufficient
PK606119,2025-06-21 10:06:10,J024-P3,J024,JP Nagar,On-Street Metered,20,13,65.0,Weekend,False,False,0.0,False,False,0.36,39.0,0.16,0.042,0.097,0.953,Ample parking available - standard guidance sufficient
PK606120,2026-04-04 16:29:12,J041-P3,J041,Chalukya Circle,Market Area,80,13,16.2,Weekend,False,False,0.0,False,False,0.61,26.7,0.08,0.027,0.063,0.94,Ample parking available - standard guidance sufficient
PK606121,2025-12-19 09:04:39,J030-P3,J030,MG Road,Multi-Level Public,720,422,58.6,Weekday,False,False,0.0,False,False,0.51,30.8,0.12,0.03,0.069,0.95,Ample parking available - standard guidance sufficient
PK606122,2025-01-02 14:03:30,J004-P2,J004,Hebbal,On-Street Metered,44,29,65.9,Weekday,False,False,0.0,False,False,0.41,43.6,0.17,0.032,0.075,0.941,Ample parking available - standard guidance sufficient
PK606123,2026-05-01 08:00:40,J014-P3,J014,Electronic City Toll,On-Street Metered,121,22,18.2,Weekday,True,False,0.0,False,False,0.66,15.5,0.07,0.016,0.037,0.906,Festival demand surge expected - pre-booking recommended
PK606124,2025-08-03 08:25:19,J031-P2,J031,Cubbon Road,Office Complex,326,82,25.2,Weekend,False,False,0.0,False,False,0.54,15.0,0.08,0.023,0.054,0.954,Ample parking available - standard guidance sufficient
PK606125,2026-02-25 11:16:50,J001-P2,J001,Silk Board,Mall Basement,448,72,16.1,Weekday,False,False,0.0,False,False,0.46,31.0,0.16,0.042,0.097,0.959,Ample parking available - standard guidance sufficient
PK606126,2026-02-28 17:40:55,J013-P2,J013,HSR BDA Complex,Office Complex,382,123,32.2,Weekend,False,False,0.0,False,False,0.58,20.9,0.08,0.021,0.049,0.977,Ample parking available - standard guidance sufficient
PK606127,2026-05-22 17:32:45,J022-P3,J022,Rajajinagar,Multi-Level Public,712,704,98.9,Weekday,False,True,26.6,False,True,0.31,278.7,1.25,0.326,0.753,0.879,Lot near capacity - reroute to nearby alternate parking recommended
PK606128,2026-02-27 17:39:01,J037-P2,J037,Kadugodi,On-Street Metered,96,80,83.3,Weekday,False,False,0.0,False,False,0.45,130.1,0.68,0.171,0.396,0.942,Lot filling up - real-time slot guidance recommended
PK606129,2025-12-16 07:09:40,J036-P1,J036,HAL Airport Road,Mall Basement,437,99,22.7,Weekday,False,False,0.0,False,False,0.61,48.5,0.11,0.033,0.077,0.95,Ample parking available - standard guidance sufficient
PK606130,2025-05-07 12:43:12,J042-P1,J042,Anand Rao Circle,On-Street Metered,66,41,62.1,Weekday,False,False,0.0,False,False,0.45,55.5,0.22,0.057,0.132,0.94,Ample parking available - standard guidance sufficient
PK606131,2025-02-17 07:12:09,J001-P2,J001,Silk Board,On-Street Metered,115,18,15.7,Weekday,False,False,0.0,False,False,0.67,17.7,0.05,0.01,0.023,0.945,Ample parking available - standard guidance sufficient
PK606132,2026-03-01 08:49:59,J030-P2,J030,MG Road,Market Area,70,64,91.4,Weekend,False,False,0.0,False,True,0.38,212.8,0.61,0.207,0.479,0.918,Lot filling up - real-time slot guidance recommended
PK606133,2025-11-03 17:20:15,J035-P2,J035,Domlur,Market Area,138,24,17.4,Weekday,False,False,0.0,False,False,0.59,56.0,0.22,0.047,0.109,0.944,Ample parking available - standard guidance sufficient
PK606134,2025-04-03 16:18:04,J037-P1,J037,Kadugodi,Office Complex,248,220,88.7,Weekday,False,True,8.5,False,False,0.31,196.7,0.37,0.182,0.421,0.906,Lot filling up - real-time slot guidance recommended
PK606135,2026-03-10 20:16:07,J012-P2,J012,Koramangala Sony World,Mall Basement,487,326,66.9,Weekday,False,False,0.0,False,False,0.55,50.9,0.18,0.032,0.075,0.963,Ample parking available - standard guidance sufficient
PK606136,2025-02-10 16:27:42,J004-P2,J004,Hebbal,Market Area,153,5,3.3,Weekday,False,False,0.0,False,False,0.79,16.4,0.06,0.026,0.061,0.961,Ample parking available - standard guidance sufficient
PK606137,2025-06-05 04:16:21,J042-P2,J042,Anand Rao Circle,Market Area,89,16,18.0,Weekday,False,True,38.7,False,False,0.49,46.3,0.19,0.036,0.084,0.943,Ample parking available - standard guidance sufficient
PK606138,2025-10-22 17:58:00,J037-P3,J037,Kadugodi,Office Complex,317,292,92.1,Weekday,True,True,35.8,False,True,0.44,222.5,1.18,0.293,0.678,0.827,Lot filling up - real-time slot guidance recommended
PK606139,2025-07-05 06:16:49,J002-P3,J002,Marathahalli,On-Street Metered,65,13,20.0,Weekend,False,True,11.7,False,False,0.71,23.8,0.09,0.026,0.061,0.89,Ample parking available - standard guidance sufficient
PK606140,2026-05-19 22:02:59,J033-P1,J033,Trinity Circle,Market Area,151,28,18.5,Weekday,False,False,0.0,False,False,0.58,29.0,0.09,0.036,0.084,0.973,Ample parking available - standard guidance sufficient
PK606141,2025-10-27 19:32:18,J037-P3,J037,Kadugodi,On-Street Metered,31,10,32.3,Weekday,False,False,0.0,False,False,0.51,34.7,0.16,0.056,0.129,0.985,Ample parking available - standard guidance sufficient
PK606142,2025-06-22 16:48:54,J022-P2,J022,Rajajinagar,Mall Basement,433,56,12.9,Weekend,False,False,0.0,False,False,0.61,25.0,0.09,0.017,0.038,0.965,Ample parking available - standard guidance sufficient
PK606143,2025-08-19 03:02:16,J029-P1,J029,Old Airport Road,Mall Basement,387,44,11.4,Weekday,False,False,0.0,False,False,0.47,27.2,0.15,0.012,0.027,0.964,Ample parking available - standard guidance sufficient
PK606144,2025-05-30 07:56:39,J036-P3,J036,HAL Airport Road,Multi-Level Public,655,89,13.6,Weekday,False,False,0.0,False,False,0.55,30.1,0.11,0.028,0.065,0.973,Ample parking available - standard guidance sufficient
PK606145,2025-05-25 11:40:18,J034-P3,J034,Ulsoor,Mall Basement,428,15,3.5,Weekend,False,False,0.0,False,False,0.68,20.0,0.1,0.038,0.087,0.964,Ample parking available - standard guidance sufficient
PK606146,2025-03-05 09:29:22,J034-P3,J034,Ulsoor,On-Street Metered,97,65,67.0,Weekday,False,False,0.0,False,False,0.49,43.2,0.2,0.069,0.158,0.949,Ample parking available - standard guidance sufficient
PK606147,2026-03-17 07:49:31,J026-P3,J026,Hosur Road,Office Complex,316,40,12.7,Weekday,False,False,0.0,False,False,0.62,21.3,0.09,0.016,0.036,0.954,Ample parking available - standard guidance sufficient
PK606148,2025-12-07 20:58:52,J016-P3,J016,Sarjapur Road,Office Complex,320,69,21.6,Weekend,False,False,0.0,False,False,0.56,21.2,0.1,0.01,0.023,0.984,Ample parking available - standard guidance sufficient
PK606149,2026-05-14 20:59:02,J039-P2,J039,KR Market,Market Area,120,28,23.3,Weekday,False,True,16.3,False,False,0.46,26.6,0.1,0.023,0.052,0.911,Ample parking available - standard guidance sufficient
PK606150,2025-10-13 08:24:07,J010-P2,J010,Shivajinagar,On-Street Metered,46,10,21.7,Weekday,False,False,0.0,False,False,0.54,43.1,0.17,0.048,0.11,0.979,Ample parking available - standard guidance sufficient
PK606151,2026-02-04 19:02:04,J018-P3,J018,Nagawara,On-Street Metered,97,29,29.9,Weekday,False,False,0.0,False,False,0.6,16.5,0.06,0.01,0.023,0.965,Ample parking available - standard guidance sufficient
PK606152,2025-08-09 21:17:36,J031-P2,J031,Cubbon Road,Market Area,123,21,17.1,Weekend,False,False,0.0,False,False,0.59,25.7,0.09,0.037,0.084,0.972,Ample parking available - standard guidance sufficient
PK606153,2025-02-26 17:20:37,J041-P2,J041,Chalukya Circle,Mall Basement,474,344,72.6,Weekday,False,False,0.0,False,False,0.38,61.5,0.23,0.061,0.141,0.957,Ample parking available - standard guidance sufficient
PK606154,2025-07-29 07:50:54,J010-P1,J010,Shivajinagar,On-Street Metered,69,2,2.9,Weekday,False,False,0.0,False,False,0.57,27.4,0.14,0.024,0.055,0.956,Ample parking available - standard guidance sufficient
PK606155,2025-05-23 17:24:48,J018-P2,J018,Nagawara,Mall Basement,463,349,75.4,Weekday,False,False,0.0,False,False,0.4,100.0,0.44,0.108,0.249,0.981,Lot filling up - real-time slot guidance recommended
PK606156,2025-07-07 20:46:05,J007-P2,J007,Banashankari,Mall Basement,415,319,76.9,Weekday,False,True,10.4,False,False,0.35,110.1,0.45,0.127,0.294,0.928,Lot filling up - real-time slot guidance recommended
PK606157,2025-08-31 18:26:04,J012-P3,J012,Koramangala Sony World,Market Area,102,20,19.6,Weekend,False,True,73.6,False,False,0.51,17.0,0.08,0.018,0.04,0.926,Ample parking available - standard guidance sufficient
PK606158,2025-02-13 08:45:09,J042-P2,J042,Anand Rao Circle,Office Complex,309,75,24.3,Weekday,False,False,0.0,False,False,0.55,41.6,0.17,0.043,0.1,0.98,Ample parking available - standard guidance sufficient
PK606159,2025-06-24 14:42:35,J022-P3,J022,Rajajinagar,Mall Basement,436,113,25.9,Weekday,False,True,3.9,False,False,0.66,15.0,0.06,0.027,0.063,0.927,Ample parking available - standard guidance sufficient
PK606160,2025-06-04 09:34:41,J010-P2,J010,Shivajinagar,Mall Basement,405,153,37.8,Weekday,False,True,53.5,False,False,0.73,34.2,0.15,0.034,0.078,0.907,Ample parking available - standard guidance sufficient
PK606161,2025-01-02 06:33:45,J024-P1,J024,JP Nagar,On-Street Metered,26,3,11.5,Weekday,False,False,0.0,False,False,0.63,35.4,0.16,0.023,0.053,0.954,Ample parking available - standard guidance sufficient
PK606162,2025-10-19 05:36:07,J004-P3,J004,Hebbal,On-Street Metered,20,2,10.0,Weekend,False,False,0.0,False,False,0.63,37.7,0.11,0.01,0.023,0.939,Ample parking available - standard guidance sufficient
PK606163,2025-07-27 09:12:30,J017-P3,J017,Whitefield ITPL,Market Area,112,109,97.3,Weekend,False,False,0.0,False,True,0.4,260.9,0.83,0.264,0.611,0.906,Lot near capacity - reroute to nearby alternate parking recommended
PK606164,2025-04-30 19:38:01,J042-P3,J042,Anand Rao Circle,Office Complex,267,22,8.2,Weekday,False,False,0.0,False,False,0.75,26.9,0.09,0.028,0.065,0.985,Ample parking available - standard guidance sufficient
PK606165,2025-10-21 17:35:57,J011-P2,J011,Indiranagar 100ft Road,Market Area,156,60,38.5,Weekday,True,False,0.0,False,False,0.51,29.6,0.1,0.023,0.054,0.905,Festival demand surge expected - pre-booking recommended
PK606166,2025-09-05 01:46:54,J006-P2,J006,Tin Factory,On-Street Metered,65,18,27.7,Weekday,True,True,11.4,False,False,0.65,15.5,0.06,0.015,0.036,0.844,Festival demand surge expected - pre-booking recommended
PK606167,2025-03-17 16:17:17,J018-P2,J018,Nagawara,Mall Basement,495,86,17.4,Weekday,False,False,0.0,False,False,0.62,35.0,0.14,0.041,0.094,0.944,Ample parking available - standard guidance sufficient
PK606168,2025-11-20 15:00:19,J009-P2,J009,Majestic,Multi-Level Public,737,511,69.3,Weekday,False,False,0.0,False,False,0.41,69.2,0.24,0.075,0.174,0.956,Ample parking available - standard guidance sufficient
PK606169,2025-03-10 05:00:45,J021-P1,J021,Vijayanagar,On-Street Metered,67,14,20.9,Weekday,False,False,0.0,False,False,0.65,16.5,0.07,0.017,0.04,0.988,Ample parking available - standard guidance sufficient
PK606170,2026-05-22 19:45:58,J041-P2,J041,Chalukya Circle,Multi-Level Public,648,275,42.4,Weekday,False,False,0.0,False,False,0.59,38.1,0.12,0.035,0.081,0.95,Ample parking available - standard guidance sufficient
PK606171,2025-03-06 09:37:48,J015-P3,J015,Bellandur,On-Street Metered,65,44,67.7,Weekday,False,False,0.0,False,False,0.34,43.3,0.19,0.045,0.105,0.989,Ample parking available - standard guidance sufficient
PK606172,2026-06-18 13:03:04,J001-P2,J001,Silk Board,Market Area,179,44,24.6,Weekday,False,True,41.9,False,False,0.59,21.3,0.08,0.013,0.03,0.93,Ample parking available - standard guidance sufficient
PK606173,2025-02-22 20:31:06,J038-P3,J038,Varthur,Office Complex,295,26,8.8,Weekend,False,False,0.0,False,False,0.63,15.0,0.08,0.015,0.035,0.985,Ample parking available - standard guidance sufficient
PK606174,2026-04-24 19:12:11,J037-P2,J037,Kadugodi,Mall Basement,496,353,71.2,Weekday,False,False,0.0,False,False,0.35,47.2,0.2,0.062,0.144,0.98,Ample parking available - standard guidance sufficient
PK606175,2026-05-02 17:19:07,J004-P2,J004,Hebbal,Market Area,142,82,57.7,Weekend,True,False,0.0,False,False,0.37,15.0,0.06,0.011,0.025,0.915,Festival demand surge expected - pre-booking recommended
PK606176,2026-02-19 19:20:19,J023-P1,J023,Basavanagudi,Mall Basement,476,322,67.6,Weekday,False,False,0.0,False,False,0.43,34.6,0.13,0.033,0.076,0.945,Ample parking available - standard guidance sufficient
PK606177,2025-01-17 17:12:12,J008-P1,J008,Jayanagar 4th Block,Market Area,76,8,10.5,Weekday,False,False,0.0,False,False,0.67,31.7,0.1,0.027,0.063,0.975,Ample parking available - standard guidance sufficient
PK606178,2025-07-05 21:23:18,J008-P2,J008,Jayanagar 4th Block,On-Street Metered,86,38,44.2,Weekend,False,False,0.0,False,False,0.5,35.2,0.13,0.023,0.053,0.95,Ample parking available - standard guidance sufficient
PK606179,2026-06-28 12:44:03,J020-P3,J020,Malleshwaram Circle,Market Area,112,112,100.0,Weekend,False,True,10.5,False,True,0.42,396.8,1.95,0.489,1.13,0.816,Lot near capacity - reroute to nearby alternate parking recommended
PK606180,2025-05-23 19:50:26,J026-P3,J026,Hosur Road,Mall Basement,463,280,60.5,Weekday,False,False,0.0,False,False,0.45,45.3,0.18,0.059,0.137,0.959,Ample parking available - standard guidance sufficient
PK606181,2025-12-26 09:50:55,J013-P3,J013,HSR BDA Complex,On-Street Metered,25,21,84.0,Weekday,True,False,0.0,False,False,0.3,156.6,0.42,0.157,0.362,0.899,Lot filling up - real-time slot guidance recommended
PK606182,2025-08-11 21:46:34,J001-P3,J001,Silk Board,Multi-Level Public,652,328,50.3,Weekday,False,True,21.3,False,False,0.55,16.1,0.06,0.024,0.056,0.929,Ample parking available - standard guidance sufficient
PK606183,2025-02-03 20:11:09,J003-P1,J003,KR Puram,Multi-Level Public,658,166,25.2,Weekday,False,False,0.0,False,False,0.63,24.3,0.09,0.01,0.023,0.959,Ample parking available - standard guidance sufficient
PK606184,2025-08-10 01:24:02,J006-P2,J006,Tin Factory,Mall Basement,501,134,26.7,Weekend,False,True,26.7,False,False,0.42,30.5,0.12,0.025,0.058,0.955,Ample parking available - standard guidance sufficient
PK606185,2025-10-04 06:20:09,J036-P2,J036,HAL Airport Road,Mall Basement,493,123,24.9,Weekend,False,False,0.0,False,False,0.57,26.4,0.09,0.03,0.068,0.963,Ample parking available - standard guidance sufficient
PK606186,2026-05-26 19:17:15,J003-P1,J003,KR Puram,Mall Basement,370,264,71.4,Weekday,False,False,0.0,False,False,0.43,60.3,0.32,0.073,0.168,0.934,Ample parking available - standard guidance sufficient
PK606187,2025-11-06 20:08:25,J024-P3,J024,JP Nagar,Mall Basement,394,301,76.4,Weekday,False,False,0.0,False,False,0.52,86.2,0.37,0.099,0.229,0.97,Lot filling up - real-time slot guidance recommended
PK606188,2026-04-11 08:46:37,J013-P1,J013,HSR BDA Complex,On-Street Metered,62,10,16.1,Weekend,False,False,0.0,False,False,0.66,17.9,0.05,0.01,0.023,0.967,Ample parking available - standard guidance sufficient
PK606189,2025-10-12 11:53:36,J007-P3,J007,Banashankari,Office Complex,355,74,20.8,Weekend,False,False,0.0,False,False,0.57,32.2,0.08,0.032,0.075,0.972,Ample parking available - standard guidance sufficient
PK606190,2025-07-26 17:52:03,J019-P2,J019,RT Nagar,Office Complex,274,121,44.2,Weekend,False,False,0.0,False,False,0.54,15.0,0.06,0.01,0.023,0.949,Ample parking available - standard guidance sufficient
PK606191,2026-06-16 09:14:01,J036-P1,J036,HAL Airport Road,On-Street Metered,116,75,64.7,Weekday,False,False,0.0,False,False,0.56,36.9,0.15,0.042,0.097,0.977,Ample parking available - standard guidance sufficient
PK606192,2026-04-27 14:25:20,J013-P3,J013,HSR BDA Complex,Office Complex,303,225,74.3,Weekday,False,False,0.0,False,False,0.55,67.1,0.28,0.069,0.16,0.974,Ample parking available - standard guidance sufficient
PK606193,2026-05-26 07:51:16,J010-P2,J010,Shivajinagar,Market Area,114,85,74.6,Weekday,False,False,0.0,False,False,0.44,87.7,0.43,0.095,0.22,0.947,Ample parking available - standard guidance sufficient
PK606194,2026-02-21 23:00:13,J008-P3,J008,Jayanagar 4th Block,Mall Basement,440,67,15.2,Weekend,False,True,8.6,False,False,0.53,15.0,0.08,0.018,0.042,0.928,Ample parking available - standard guidance sufficient
PK606195,2025-06-28 21:09:39,J017-P1,J017,Whitefield ITPL,Multi-Level Public,641,206,32.1,Weekend,False,False,0.0,False,False,0.47,15.0,0.05,0.01,0.023,0.972,Ample parking available - standard guidance sufficient
PK606196,2026-05-18 17:28:31,J019-P2,J019,RT Nagar,On-Street Metered,44,35,79.5,Weekday,False,False,0.0,False,False,0.47,102.2,0.46,0.107,0.246,0.964,Lot filling up - real-time slot guidance recommended
PK606197,2025-12-14 20:39:27,J006-P2,J006,Tin Factory,On-Street Metered,110,40,36.4,Weekend,False,False,0.0,False,False,0.5,26.4,0.11,0.032,0.075,0.96,Ample parking available - standard guidance sufficient
PK606198,2025-07-26 15:18:17,J005-P1,J005,Yeshwantpur,Market Area,136,25,18.4,Weekend,False,True,7.8,False,False,0.69,32.8,0.15,0.026,0.06,0.894,Ample parking available - standard guidance sufficient
PK606199,2026-04-10 12:00:28,J001-P1,J001,Silk Board,Mall Basement,454,118,26.0,Weekday,False,False,0.0,False,False,0.5,25.4,0.05,0.026,0.059,0.973,Ample parking available - standard guidance sufficient
PK606200,2025-05-10 16:45:52,J008-P3,J008,Jayanagar 4th Block,On-Street Metered,91,65,71.4,Weekend,False,True,3.2,False,False,0.49,62.6,0.25,0.07,0.162,0.912,Ample parking available - standard guidance sufficient
PK606201,2025-04-29 10:00:10,J002-P1,J002,Marathahalli,Market Area,52,37,71.2,Weekday,False,False,0.0,False,False,0.33,63.3,0.18,0.07,0.163,0.975,Ample parking available - standard guidance sufficient
PK606202,2025-02-15 18:08:50,J001-P1,J001,Silk Board,On-Street Metered,88,75,85.2,Weekend,False,False,0.0,False,False,0.54,172.8,0.53,0.174,0.402,0.936,Lot filling up - real-time slot guidance recommended
PK606203,2025-09-10 06:02:32,J014-P1,J014,Electronic City Toll,On-Street Metered,27,6,22.2,Weekday,False,True,21.5,False,False,0.61,30.8,0.09,0.033,0.076,0.937,Ample parking available - standard guidance sufficient
PK606204,2025-10-16 19:14:26,J034-P1,J034,Ulsoor,On-Street Metered,20,7,35.0,Weekday,False,False,0.0,False,False,0.43,15.0,0.06,0.022,0.051,0.982,Ample parking available - standard guidance sufficient
PK606205,2025-11-22 15:22:48,J003-P1,J003,KR Puram,Multi-Level Public,676,539,79.7,Weekend,False,True,1.6,False,False,0.46,103.0,0.39,0.111,0.257,0.93,Lot filling up - real-time slot guidance recommended
PK606206,2025-05-01 18:53:55,J019-P2,J019,RT Nagar,Mall Basement,434,434,100.0,Weekday,True,False,0.0,False,True,0.34,500.9,1.72,0.524,1.211,0.807,Lot near capacity - reroute to nearby alternate parking recommended
PK606207,2025-04-24 17:39:16,J026-P1,J026,Hosur Road,Office Complex,327,251,76.8,Weekday,False,False,0.0,False,False,0.3,86.6,0.43,0.11,0.254,0.963,Lot filling up - real-time slot guidance recommended
PK606208,2025-07-11 13:47:31,J009-P1,J009,Majestic,On-Street Metered,163,135,82.8,Weekday,False,True,36.1,False,False,0.39,155.7,0.76,0.177,0.409,0.891,Lot filling up - real-time slot guidance recommended
PK606209,2025-01-20 13:42:16,J004-P2,J004,Hebbal,On-Street Metered,60,44,73.3,Weekday,False,False,0.0,False,False,0.54,64.0,0.31,0.09,0.208,0.99,Ample parking available - standard guidance sufficient
